iter	RMSE
0	0.2826828363
1	0.2749360766
2	0.2687354215
3	0.2629022045
4	0.2578936201
5	0.2529572074
6	0.2484132721
7	0.2434339768
8	0.2389293864
9	0.2343742899
10	0.2304977121
11	0.2245334781
12	0.2203304452
13	0.2161543229
14	0.2124520555
15	0.2087878579
16	0.2044726721
17	0.2008348659
18	0.1974767307
19	0.1942542574
20	0.1903829318
21	0.1873225146
22	0.1843650701
23	0.1808237889
24	0.1779960505
25	0.1753335106226	0.1721166848227	0.1695979477228	0.1673909772229	0.1647792023330	0.1620214279331	0.1593146234332	0.1575200818
33	0.1552283468
34	0.1527642438
35	0.1505281458
36	0.1480626203
37	0.145709138
38	0.1438219898
39	0.1415347845
40	0.1397580245
41	0.1381035442	42	0.1358818443	43	0.1340687944	44	0.1321168745	45	0.1303933546	46	0.1285920547	47	0.1270087448	48	0.1254054649	49	0.1238871050	50	0.1226497911
51	0.1213711188
52	0.1199121059
53	0.1182596271
54	0.1168159038
55	0.1152379363
56	0.1140682155
57	0.1128862119
58	0.11174418
59	0.1102268137
60	0.1092139955
61	0.107783394
62	0.1065908075
63	0.1052586479
64	0.1041859035
65	0.1028701178
66	0.1018759723
67	0.1009497653
68	0.09981743836969	0.09881403597070	0.09784521707171	0.09698717307272	0.09614660732
73	0.0951696881
74	0.09432655764775	0.09351224837
76	0.09269321994
77	0.09187833178	78	0.09091801648
79	0.09021979576
80	0.08943918546
81	0.08876937232
82	0.08786554822
83	0.08709563989
84	0.08635875186
85	0.08564713478
86	0.08485927403
87	0.08424393741
88	0.08362232316
89	0.08287739081
90	0.08228676576
91	0.08156237103
92	0.08087544506
93	0.08021460593
94	0.07962407944
95	0.07888513737
96	0.07827595645
97	0.07754553289
98	0.07698341802
99	0.07627401822
100	0.075738564
101	0.07520671617
102	0.07465833269
103	0.07422211644
104	0.07368586719
105	0.073137246
106	0.07262259649
107	0.07201519294
108	0.07148245568
109	0.07102284755
110	0.07055423514
111	0.0701342138
112	0.06966328693
113	0.06920685093
114	0.06873806199
115	0.0683065748
116	0.06780866427
117	0.06742014531
118	0.06695636731
119	0.06662410136
120	0.06615854357
121	0.06575557786
122	0.06532598067
123	0.06496527176
124	0.064534826
125	0.06407877858
126	0.06370938378
127	0.06329780664
128	0.06293674562
129	0.06254587748
130	0.06215139751
131	0.06174785663
132	0.06136279314
133	0.06112211402
134	0.06072959733
135	0.06045294853
136	0.06003411108
137	0.05969801547
138	0.05941918112
139	0.05900575268
140	0.05873183527
141	0.05845877095
142	0.05810442685
143	0.05776981381
144	0.05745719605
145	0.05719643443
146	0.05686374881
147	0.05660256377
148	0.0562270603
149	0.05599040144
150	0.05574342322
151	0.05544403981
152	0.05512076855
153	0.05484838965
154	0.05457702541
155	0.0543934715
156	0.05413564242
157	0.05380034899
158	0.05352702411
159	0.0533246601
160	0.05304693213
161	0.05284346028
162	0.05263175698
163	0.0523655756
164	0.0521514498
165	0.05193877027
166	0.05177378612
167	0.05148033892
168	0.05125831476
169	0.0510413974
170	0.05084709648
171	0.05057589612
172	0.05035957667
173	0.05020480907
174	0.05002988053
175	0.049781008
176	0.04960613462
177	0.04945325432
178	0.04916232816
179	0.04892428165
180	0.04872701907
181	0.04847880087
182	0.04833488462
183	0.04805405287
184	0.04782275383
185	0.0476814832
186	0.04746604789
187	0.04718365022
188	0.04701261719
189	0.04686084609
190	0.04660887637
191	0.04647438291
192	0.04627471975
193	0.04614427683
194	0.04599227778
195	0.0458663119
196	0.04566080709
197	0.04548960931
198	0.04530388151
199	0.04510693396
200	0.04495555945
201	0.04478968914
202	0.04456597578
203	0.04440747891
204	0.044227131
205	0.04399409368
206	0.04385196368
207	0.04370022727
208	0.04344619293
209	0.0432507328
210	0.04303917652
211	0.04289590588
212	0.04278684513
213	0.04265849732
214	0.04247799599
215	0.04236612247
216	0.04220747353
217	0.04200720708
218	0.0418702721
219	0.041676898
220	0.04153931525
221	0.04136720035
222	0.04124625291
223	0.04111548476
224	0.04100303968
225	0.04078584889
226	0.04068032073
227	0.04050281828
228	0.04037620482
229	0.04024486503
230	0.04008328694
231	0.03988672159
232	0.03978553449
233	0.03962879709
234	0.03953867257
235	0.03942520855
236	0.03927976816
237	0.03915321698
238	0.03904436204
239	0.03893555845
240	0.03884291198
241	0.03873114629
242	0.03854861023
243	0.03837750793
244	0.03827467446
245	0.03817110469
246	0.03809047517
247	0.03793283075
248	0.03776706903
249	0.03764899422
250	0.03753983028
251	0.03735366899
252	0.0371519539
253	0.03697347111
254	0.03686309062
255	0.03676904956
256	0.0366546288
257	0.03657816482
258	0.03646744337
259	0.03633942879
260	0.03617739758
261	0.03604982891
262	0.03595574507
263	0.03588587152
264	0.03580509297
265	0.0356936174
266	0.0356102181
267	0.03547281913
268	0.03539860248
269	0.03521130088
270	0.03508764342
271	0.03500302404
272	0.03482507859
273	0.03475530426
274	0.03461543115
275	0.03452512424
276	0.03445468119
277	0.03435890957
278	0.03422773796
279	0.03415956363
280	0.03403343164
281	0.03395307643
282	0.03383077672
283	0.03372394825
284	0.0336483103
285	0.03349789713
286	0.03341184011
287	0.03328050106
288	0.03316540249
289	0.03307085328
290	0.03297481565
291	0.03286071946
292	0.0327810693
293	0.0326946094
294	0.03256143607
295	0.03249760035
296	0.03239238201
297	0.03232108628
298	0.03220418532
299	0.03204793824
19
